Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2026-01-03,228,34748,279,6724,204
2026-01-04,237,34753,232,6754,202
2026-01-05,264,34769,243,6799,198
2026-01-06,191,34763,193,6770,222
2026-01-07,277,34794,251,6775,246
2026-01-08,286,34797,279,6819,235
2026-01-09,269,34814,257,6874,202
2026-01-10,185,34787,222,6918,178
2026-01-11,249,34804,222,6971,169
2026-01-12,270,34815,250,6999,222
2026-01-13,273,34848,247,7031,215
2026-01-14,284,34843,281,7066,246
2026-01-15,270,34871,251,7099,218
2026-01-16,305,34886,284,7117,266
2026-01-17,231,34842,268,7213,172
2026-01-18,215,34853,212,7195,230
2026-01-19,291,34888,265,7201,259
2026-01-20,283,34876,298,7277,222
2026-01-21,317,34898,288,7341,224
2026-01-22,311,34909,294,7411,224
2026-01-23,338,34930,312,7469,254
2026-01-24,232,34892,264,7530,203
2026-01-25,225,34904,210,7527,213
2026-01-26,292,34937,252,7519,260
2026-01-27,253,34948,247,7506,260
2026-01-28,291,34967,264,7526,244
2026-01-29,258,34979,251,7495,282
2026-01-30,286,35023,252,7499,248
2026-01-31,276,35024,266,7549,216
2026-02-01,218,35038,213,7530,232
2026-02-02,287,35064,251,7547,234
2026-02-03,284,35087,267,7533,281
2026-02-04,296,35084,305,7630,208
2026-02-05,311,35076,315,7691,254
2026-02-06,321,35094,308,7770,229
2026-02-07,245,35071,259,7800,229
2026-02-08,269,35099,250,7824,226
2026-02-09,325,35150,265,7821,268
2026-02-10,317,35162,295,7856,260
2026-02-11,302,35169,292,7889,259
2026-02-12,283,35182,270,7883,276
2026-02-13,319,35201,297,7889,291
2026-02-14,294,35194,298,7987,200
2026-02-15,301,35194,292,8054,225
2026-02-16,314,35202,308,8102,260
2026-02-17,305,35199,304,8171,235
2026-02-18,276,35209,274,8161,284
2026-02-19,341,35250,304,8203,262
2026-02-20,334,35291,302,8195,310
2026-02-21,305,35283,322,8273,244
2026-02-22,264,35296,254,8307,220
2026-02-23,354,35355,291,8351,247
2026-02-24,311,35357,306,8345,312
2026-02-25,339,35365,328,8372,301
2026-02-26,320,35353,322,8392,302
2026-02-27,336,35379,315,8428,279
2026-02-28,262,35373,261,8451,238
2026-03-01,275,35396,259,8480,230
2026-03-02,309,35434,272,8460,292
2026-03-03,339,35433,332,8479,313
2026-03-04,355,35456,340,8516,303
2026-03-05,353,35481,332,8573,275
2026-03-06,357,35505,334,8632,275
2026-03-07,274,35497,272,8665,239
2026-03-08,295,35500,283,8724,224
2026-03-09,347,35521,335,8801,258
2026-03-10,349,35538,332,8846,287
2026-03-11,362,35567,334,8876,304
2026-03-12,356,35598,326,8883,319
2026-03-13,342,35587,345,8962,266
2026-03-14,295,35584,305,9010,257
2026-03-15,334,35612,314,9058,266
2026-03-16,342,35632,322,9110,270
2026-03-17,360,35650,345,9151,304
2026-03-18,382,35693,345,9170,326
2026-03-19,388,35737,351,9224,297
2026-03-20,348,35738,339,9227,336
2026-03-21,339,35715,354,9293,288
2026-03-22,346,35737,317,9309,301
2026-03-23,387,35759,359,9396,272
2026-03-24,383,35797,344,9428,312
2026-03-25,350,35786,355,9487,296
2026-03-26,389,35816,355,9528,314
2026-03-27,433,35839,407,9603,332
2026-03-28,301,35828,322,9642,283
2026-03-29,315,35868,283,9676,249
2026-03-30,363,35927,312,9670,318
2026-03-31,421,35944,399,9741,328
2026-04-01,375,35947,363,9765,339
2026-04-02,405,35963,384,9830,319
2026-04-03,384,35980,362,9865,327
2026-04-04,355,36002,327,9919,273
2026-04-05,346,36001,351,10002,268
2026-04-06,397,36037,368,10042,328
2026-04-07,363,36039,365,10072,335
2026-04-08,385,36068,355,10086,341
2026-04-09,405,36076,401,10163,324
2026-04-10,415,36112,386,10190,359
2026-04-11,337,36106,342,10277,255
2026-04-12,383,36155,342,10358,261
2026-04-13,366,36172,349,10404,303
2026-04-14,390,36214,339,10378,365
2026-04-15,431,36253,389,10400,367
2026-04-16,397,36250,391,10452,339
2026-04-17,398,36295,351,10458,345
2026-04-18,349,36294,354,10550,262
2026-04-19,290,36278,311,10578,283
2026-04-20,396,36308,357,10564,371
2026-04-21,398,36313,394,10572,386
2026-04-22,409,36337,386,10636,322
2026-04-23,468,36381,428,10713,351
2026-04-24,411,36402,394,10756,351
2026-04-25,394,36404,395,10863,288
2026-04-26,371,36392,375,10932,306
2026-04-27,431,36417,406,10973,365
2026-04-28,473,36442,450,11037,386
2026-04-29,429,36442,436,11113,360
2026-04-30,384,36435,385,11113,385
2026-05-01,461,36489,406,11124,395
2026-05-02,363,36491,368,11191,301
2026-05-03,335,36495,330,11228,293
2026-05-04,463,36576,387,11217,398
2026-05-05,443,36604,425,11253,389
2026-05-06,418,36607,413,11341,325
2026-05-07,421,36646,387,11358,370
2026-05-08,372,36670,358,11356,360
2026-05-09,291,36659,310,11375,291
2026-05-10,373,36714,326,11376,325
2026-05-11,426,36744,391,11393,374
2026-05-12,441,36777,418,11413,398
2026-05-13,406,36782,393,11399,407
2026-05-14,376,36788,365,11379,385
2026-05-15,385,36804,369,11351,397
2026-05-16,371,36837,337,11384,304
2026-05-17,392,36877,353,11409,328
2026-05-18,420,36916,387,11420,376
2026-05-19,460,36977,394,11407,407
2026-05-20,429,36980,423,11430,400
2026-05-21,379,37009,356,11413,373
2026-05-22,440,37065,377,11446,344
2026-05-23,380,37048,387,11515,318
2026-05-24,331,37047,333,11521,327
2026-05-25,437,37088,396,11532,385
2026-05-26,426,37088,419,11557,394
2026-05-27,464,37112,434,11592,399
2026-05-28,433,37085,463,11679,376
2026-05-29,374,37064,398,11669,408
2026-05-30,362,37083,349,11720,298
2026-05-31,334,37086,330,11735,315
2026-06-01,392,37141,330,11659,406
2026-06-02,404,37159,387,11662,384
2026-06-03,426,37185,398,11651,409
2026-06-04,404,37198,400,11640,411
2026-06-05,412,37195,408,11643,405
2026-06-06,308,37197,305,11638,310
2026-06-07,366,37204,349,11662,325
2026-06-08,407,37240,376,11624,414
2026-06-09,385,37241,388,11626,386
2026-06-10,396,37247,393,11677,342
2026-06-11,410,37255,395,11679,393
2026-06-12,384,37288,356,11638,397
2026-06-13,345,37322,318,11641,315
2026-06-14,331,37353,304,11628,317
2026-06-15,385,37403,339,11574,393
2026-06-16,427,37416,406,11594,386
2026-06-17,436,37459,394,11568,420
2026-06-18,482,37511,434,11613,389
2026-06-19,361,37483,382,11593,402
2026-06-20,356,37500,334,11617,310
2026-06-21,398,37519,379,11669,327
2026-06-22,441,37569,394,11663,400
2026-06-23,391,37592,376,11676,363
2026-06-24,370,37593,370,11700,346
2026-06-25,358,37606,347,11631,416
2026-06-26,388,37619,368,11591,408
2026-06-27,329,37608,350,11622,319
2026-06-28,326,37631,308,11652,278
2026-06-29,358,37699,292,11567,377
2026-06-30,372,37722,341,11493,415
2026-07-01,368,37760,335,11439,389
2026-07-02,367,37786,339,11414,364
2026-07-03,338,37807,324,11402,336
2026-07-04,304,37788,316,11404,314
2026-07-05,304,37797,297,11396,305
2026-07-06,380,37832,344,11331,409
2026-07-07,387,37863,359,11289,401
2026-07-08,404,37902,370,11279,380
2026-07-09,353,37930,333,11259,353
2026-07-10,378,37953,353,11229,383
2026-07-11,247,37928,281,11220,290
2026-07-12,274,37961,249,11157,312
2026-07-13,413,38024,351,11124,384
2026-07-14,335,38014,347,11126,345
2026-07-15,383,38044,354,11112,368
2026-07-16,367,38056,354,11079,387
2026-07-17,315,38064,299,11000,378
2026-07-18,295,38054,296,10976,320
2026-07-19,254,38054,262,10961,277
2026-07-20,353,38080,317,10907,371
2026-07-21,378,38111,349,10894,362
2026-07-22,363,38143,327,10853,368
2026-07-23,336,38136,343,10823,373
2026-07-24,367,38166,347,10809,361
2026-07-25,319,38194,298,10810,297
2026-07-26,312,38210,293,10785,318
2026-07-27,299,38256,261,10669,377
